type,id,url,twitterUrl,text,retweetCount,replyCount,likeCount,quoteCount,viewCount,createdAt,lang,bookmarkCount,author.type,author.userName,author.url,author.twitterUrl,author.id,author.name,author.profilePicture,author.description,author.location,author.followers,author.following,author.createdAt
tweet,1762265250987200925,https://x.com/FmGuerralves/status/1762265250987200925,https://twitter.com/FmGuerralves/status/1762265250987200925,"Historic visit by French Minister for Home Affairs & Overseas Territories, @GDarmanin, to Australia, marking a new chapter in #France-#Australia cooperation.",359,41,3249,0,9920,Mon Feb 26 23:55:51 +0000 2024,en,0,user,FmGuerralves,https://x.com/FmGuerralves,https://twitter.com/FmGuerralves,940012138738827264,Fernando Guerra Alves,https://pbs.twimg.com/profile_images/1401085475763351553/18wsXFtB_normal.jpg,Govt Relations & Policy Strategist | Specializing in Industry and Tech,"Sydney, New South Wales",51,174,Mon Dec 11 00:15:33 +0000 2017
tweet,1762265102085165546,https://x.com/FmGuerralves/status/1762265102085165546,https://twitter.com/FmGuerralves/status/1762265102085165546,Amazing collaboration between Australia and France strengthens our regional partnership.,59,261,2360,0,37151,Mon Feb 26 23:55:16 +0000 2024,en,0,user,FmGuerralves,https://x.com/FmGuerralves,https://twitter.com/FmGuerralves,940012138738827264,Fernando Guerra Alves,https://pbs.twimg.com/profile_images/1401085475763351553/18wsXFtB_normal.jpg,Govt Relations & Policy Strategist | Specializing in Industry and Tech,"Sydney, New South Wales",51,174,Mon Dec 11 00:15:33 +0000 2017
tweet,1762264840154857577,https://x.com/FmGuerralves/status/1762264840154857577,https://twitter.com/FmGuerralves/status/1762264840154857577,The future of diplomatic relations depends on strong partnerships and mutual respect.,169,44,1046,0,48467,Mon Feb 26 23:54:13 +0000 2024,en,0,user,FmGuerralves,https://x.com/FmGuerralves,https://twitter.com/FmGuerralves,940012138738827264,Fernando Guerra Alves,https://pbs.twimg.com/profile_images/1401085475763351553/18wsXFtB_normal.jpg,Govt Relations & Policy Strategist | Specializing in Industry and Tech,"Sydney, New South Wales",51,174,Mon Dec 11 00:15:33 +0000 2017
tweet,1762264888053821624,https://x.com/FmGuerralves/status/1762264888053821624,https://twitter.com/FmGuerralves/status/1762264888053821624,Celebrating cultural exchange and economic cooperation between two great nations.,277,433,2195,0,4708,Mon Feb 26 23:54:25 +0000 2024,en,0,user,FmGuerralves,https://x.com/FmGuerralves,https://twitter.com/FmGuerralves,940012138738827264,Fernando Guerra Alves,https://pbs.twimg.com/profile_images/1401085475763351553/18wsXFtB_normal.jpg,Govt Relations & Policy Strategist | Specializing in Industry and Tech,"Sydney, New South Wales",51,174,Mon Dec 11 00:15:33 +0000 2017
tweet,1762264739139510735,https://x.com/FmGuerralves/status/1762264739139510735,https://twitter.com/FmGuerralves/status/1762264739139510735,Innovation and technology drive the partnership forward in the Indo-Pacific region.,274,411,7193,0,31632,Mon Feb 26 23:54:00 +0000 2024,en,0,user,FmGuerralves,https://x.com/FmGuerralves,https://twitter.com/FmGuerralves,940012138738827264,Fernando Guerra Alves,https://pbs.twimg.com/profile_images/1401085475763351553/18wsXFtB_normal.jpg,Govt Relations & Policy Strategist | Specializing in Industry and Tech,"Sydney, New South Wales",51,174,Mon Dec 11 00:15:33 +0000 2017
tweet,1762264600000000001,https://x.com/FmGuerralves/status/1762264600000000001,https://twitter.com/FmGuerralves/status/1762264600000000001,Joint initiatives in climate action and renewable energy show our commitment to sustainability.,66,378,533,0,4537,Mon Feb 26 23:53:45 +0000 2024,en,0,user,FmGuerralves,https://x.com/FmGuerralves,https://twitter.com/FmGuerralves,940012138738827264,Fernando Guerra Alves,https://pbs.twimg.com/profile_images/1401085475763351553/18wsXFtB_normal.jpg,Govt Relations & Policy Strategist | Specializing in Industry and Tech,"Sydney, New South Wales",51,174,Mon Dec 11 00:15:33 +0000 2017
tweet,1762264500000000002,https://x.com/FmGuerralves/status/1762264500000000002,https://twitter.com/FmGuerralves/status/1762264500000000002,Strong bilateral defence and security cooperation strengthens the Indo-Pacific region.,157,276,4745,0,45778,Mon Feb 26 23:53:30 +0000 2024,en,0,user,FmGuerralves,https://x.com/FmGuerralves,https://twitter.com/FmGuerralves,940012138738827264,Fernando Guerra Alves,https://pbs.twimg.com/profile_images/1401085475763351553/18wsXFtB_normal.jpg,Govt Relations & Policy Strategist | Specializing in Industry and Tech,"Sydney, New South Wales",51,174,Mon Dec 11 00:15:33 +0000 2017
tweet,1762264400000000003,https://x.com/FmGuerralves/status/1762264400000000003,https://twitter.com/FmGuerralves/status/1762264400000000003,Education and research partnerships open new doors for innovation and discovery.,725,69,1439,0,46492,Mon Feb 26 23:53:15 +0000 2024,en,0,user,FmGuerralves,https://x.com/FmGuerralves,https://twitter.com/FmGuerralves,940012138738827264,Fernando Guerra Alves,https://pbs.twimg.com/profile_images/1401085475763351553/18wsXFtB_normal.jpg,Govt Relations & Policy Strategist | Specializing in Industry and Tech,"Sydney, New South Wales",51,174,Mon Dec 11 00:15:33 +0000 2017
tweet,1762264300000000004,https://x.com/FmGuerralves/status/1762264300000000004,https://twitter.com/FmGuerralves/status/1762264300000000004,Trade and business opportunities flourish under this historic partnership.,125,498,9479,0,14655,Mon Feb 26 23:53:00 +0000 2024,en,0,user,FmGuerralves,https://x.com/FmGuerralves,https://twitter.com/FmGuerralves,940012138738827264,Fernando Guerra Alves,https://pbs.twimg.com/profile_images/1401085475763351553/18wsXFtB_normal.jpg,Govt Relations & Policy Strategist | Specializing in Industry and Tech,"Sydney, New South Wales",51,174,Mon Dec 11 00:15:33 +0000 2017
tweet,1762264200000000005,https://x.com/FmGuerralves/status/1762264200000000005,https://twitter.com/FmGuerralves/status/1762264200000000005,Excited about the future prospects of Australia-France cooperation!,87,279,6549,0,22363,Mon Feb 26 23:52:45 +0000 2024,en,0,user,FmGuerralves,https://x.com/FmGuerralves,https://twitter.com/FmGuerralves,940012138738827264,Fernando Guerra Alves,https://pbs.twimg.com/profile_images/1401085475763351553/18wsXFtB_normal.jpg,Govt Relations & Policy Strategist | Specializing in Industry and Tech,"Sydney, New South Wales",51,174,Mon Dec 11 00:15:33 +0000 2017
